,UserId,ClusterId
0,272517,1
1,315546,1
2,329889,1
3,344232,1
4,358575,1
5,372918,1
6,271236,1
7,285579,2
8,299922,2
9,314265,1
10,328608,1
11,357294,1
12,371637,1
13,269955,1
14,284298,1
15,298641,2
16,312984,1
17,327327,1
18,341670,1
19,356013,1
20,370356,1
21,268674,1
22,326046,1
23,354732,1
24,275079,1
25,303765,1
26,332451,1
27,361137,1
28,281736,1
29,310422,1
30,339108,1
31,367794,1
32,259455,1
33,288141,1
34,316827,1
35,374199,2
36,266112,1
37,294798,1
38,352170,1
39,380856,1
40,264579,2
41,278922,1
42,336294,1
43,307860,1
44,350889,1
45,365232,1
46,263298,1
47,306327,2
48,320670,1
49,277893,1
50,335265,1
51,349608,1
52,333984,1
53,283017,2
54,340389,1
55,289422,2
56,260988,2
57,295827,1
58,318360,1
59,375732,1
60,267393,1
61,324765,2
62,273798,1
63,280203,1
64,302736,1
65,360108,1
66,366513,1
67,272769,2
68,287112,1
69,373170,1
70,285327,1
71,299670,1
72,314013,1
73,328356,1
74,271488,1
75,343203,1
76,357546,1
77,371889,1
78,269703,2
79,298389,1
80,327579,1
81,341922,1
82,356265,1
83,370608,1
84,268422,2
85,297108,1
86,319641,1
87,383166,1
88,332199,1
89,354984,2
90,281484,1
91,304017,1
92,367542,1
93,316575,1
94,345261,1
95,310674,2
96,339360,1
97,259707,1
98,265860,1
99,351918,1
100,374451,1
101,300951,1
102,264327,1
103,278670,1
104,309393,2
105,323736,1
106,350637,1
107,322203,1
108,336546,1
109,263046,1
110,293769,1
111,308112,1
112,363447,1
113,377790,1
114,335013,2
115,278145,1
116,292488,1
117,347823,1
118,305298,1
119,276864,2
120,295575,1
121,318108,1
122,340641,1
123,267141,1
124,381885,1
125,330918,1
126,375984,1
127,302484,1
128,274050,2
129,315294,1
130,360360,2
131,299418,2
132,328104,1
133,371133,1
134,287364,1
135,316050,1
136,344736,1
137,269451,1
138,369852,2
139,286083,1
140,357798,1
141,268170,1
142,311199,1
143,339885,1
144,368571,1
145,284802,1
146,274575,1
147,303261,2
148,331947,1
149,360633,2
150,291207,1
151,377265,2
152,309918,1
153,338604,1
154,367290,1
155,326550,1
156,355236,1
157,383922,1
158,373695,1
159,265608,1
160,272013,1
161,259959,1
162,288645,1
163,317331,1
164,346017,2
165,307356,1
166,352422,2
167,364728,2
168,323988,1
169,381360,1
170,262794,1
171,363195,1
172,277389,2
173,322455,1
174,379827,1
175,294021,1
